,0
64,"['misdirection', 'feint', 'value', 'report', 'explanation', 'already', 'done', 'done', 'except', 'obvious', 'like', 'military', 'operate', 'like', 'civilian']"
65,"['oligarch', 'owner', 'football', 'soccer', 'team', 'peace', 'role', 'oligarch', 'presence', 'intrigue', 'russia']"
66,"['remember', 'said', 'dug', 'red', 'forest', 'part', 'exclusion', 'zone', 'potentially', 'irradiated', 'dust', 'well', 'batch', 'irradiated', 'special', 'radiation', 'treatment', 'hospital', 'confirmed']"
67,"['anyone', 'give', 'away', 'like', 'delusional', 'politico', 'fox', 'eu', 'drudge']"
68,"['hit', 'projectile', 'damage', 'crew', 'lived', 'tank', 'need', 'lot', 'get', 'back', 'action', 'via']"
69,"['foreign', 'federation', 'people', 'republic', 'china', 'china', 'bear', 'dragon', 'decide', 'important', 'china', 'russia']"
70,"['well', 'done', 'getting', 'interview', 'ca', 'easy', 'absolute', 'fabricator', 'truth', 'perhaps', 'brain', 'washed', 'think']"
71,"['invincible', 'nation', 'military', 'mostly', 'unity', 'among', 'people']"
72,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
73,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
74,"['call', 'anonymous', 'collective', 'target', 'international', 'still', 'continue', 'conduct', 'engage', 'business', 'russia', 'day', 'still', 'continue', 'support', 'ethics', 'morals', 'call', 'global', 'put', 'pressure']"
75,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
76,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
77,['struggle']
78,"['behind', 'shoot', 'back', 'escape', 'neo', 'tell', 'truth', 'infamous', 'neo', 'battalion', 'never', 'show', 'tell']"
79,"['friend', 'fighting', 'alongside', 'among', 'former', 'barbershop', 'also', 'former', 'military', 'felt', 'need', 'support', 'believe', 'ultimate', 'withdrawal']"
80,"['clean', 'russia']"
81,"['excited', 'mint', 'day', 'tomorrow', 'let', 'giveaway', 'companion', 'know', 'drill', 'like', 'tag', 'pick', 'winner', 'mint']"
82,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
83,"['spirit', 'unbreakable']"
84,"['oh', 'million', 'times', 'bipartisan', 'trump', 'begging', 'release', 'dirt', 'keep', 'going', 'back', 'forth']"
85,"['archive', 'million', 'phone', 'use', 'spread', 'truth', 'anonymous', 'received', 'separate', 'thank', 'work', 'particular']"
86,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
87,"['odd', 'trump', 'twice', 'absolutely', 'admire', 'leader', 'hero', 'people', 'stop', 'trying', 'divide', 'people']"
88,"['portrait', 'town', 'military', 'glory', 'land', 'afraid', 'admit', 'gratefully', 'russia', 'militarism']"
89,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
90,"['designer', 'brand', 'identity', 'unity', 'part', 'powerful', 'world', 'nation', 'brave', 'strong', 'honor', 'remember', 'forever', 'free', 'independent', 'fresh']"
91,"['oh', 'million', 'times', 'bipartisan', 'trump', 'begging', 'release', 'dirt', 'keep', 'going', 'back', 'forth']"
92,"['vitally', 'important', 'message', 'trump', 'congress']"
93,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
94,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
95,"['little', 'army', 'know', 'military', 'organization', 'people', 'army', 'photo', 'military', 'column', 'pride', 'march', 'people', 'look', 'like']"
96,"['remember', 'history', 'time', 'seem', 'invincible', 'end', 'always', 'fall', 'always', 'make', 'like', 'follow', 'tell', 'together']"
97,"['new', 'prevent', 'travel', 'russia']"
98,"['excited', 'mint', 'day', 'tomorrow', 'let', 'giveaway', 'companion', 'know', 'drill', 'like', 'tag', 'pick', 'winner', 'mint']"
99,"['create', 'burner', 'read', 'anonymous', 'privacy']"
100,"['excited', 'mint', 'day', 'tomorrow', 'let', 'giveaway', 'companion', 'know', 'drill', 'like', 'tag', 'pick', 'winner', 'mint']"
101,"['whoops', 'maybe', 'play', 'lawn']"
102,"['help', 'boycott', 'stay', 'russia', 'pay', 'finance', 'war', 'donate', 'money', 'directly', 'demand', 'government', 'increase', 'military', 'aid', 'need', 'action']"
103,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
104,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
105,"['sorry', 'thank', 'stay', 'strong', 'stay', 'safe']"
106,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
107,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
108,"['sleep', 'today', 'capital', 'south', 'news', 'holding', 'referendum', 'south', 'entry', 'russia', 'positively', 'received']"
109,"['oh', 'million', 'times', 'bipartisan', 'trump', 'begging', 'release', 'dirt', 'keep', 'going', 'back', 'forth']"
110,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
111,"['like', 'many', 'last', 'seen', 'destruction', 'invasion', 'witness', 'countless', 'please', 'mistake', 'anti', 'rhetoric', 'unsympathetic', 'towards', 'people']"
112,"['director', 'general', 'south', 'nuclear', 'power', 'plant', 'today', 'begin', 'delivery', 'urgent', 'assistance', 'ensure', 'safety', 'security', 'country', 'nuclear', 'watch', 'told', 'staff']"
113,"['united', 'tragedy', 'heroism', 'war', 'struggle', 'yearning', 'freedom', 'oppression', 'good', 'read', 'unprovoked', 'invasion', 'spirit', 'past']"
114,"['could', 'already', 'millions', 'continued', 'aggressive', 'policy', 'read', 'could', 'delay', 'minister', 'foreign', 'federation']"
115,"['excited', 'mint', 'day', 'tomorrow', 'let', 'giveaway', 'companion', 'know', 'drill', 'like', 'tag', 'pick', 'winner', 'mint']"
116,"['excited', 'mint', 'day', 'tomorrow', 'let', 'giveaway', 'companion', 'know', 'drill', 'like', 'tag', 'pick', 'winner', 'mint']"
117,"['huge', 'column', 'v', 'sign', 'seen', 'moving', 'towards', 'border', 'possible', 'equipment', 'transferred', 'direction']"
118,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
119,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
120,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
121,"['thanks', 'support', 'please', 'stop', 'supporting', 'please', 'move', 'world', 'busy', 'place', 'whole', 'host', 'humbly', 'ask', 'stay', 'people', 'long', 'haul']"
122,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
