,0
51,"['one', 'sign', 'throw', 'war', 'cannon', 'fodder', 'dig', 'build', 'extremely', 'radioactive', 'red', 'forest', 'near', 'nuclear', 'power', 'plant', 'source', 'head', 'exclusion', 'zone', 'agency', 'thread']"
52,"['middle', 'war', 'cat', 'human']"
53,"['bearing', 'witness', 'important', 'yet', 'one', 'get', 'depressed', 'feel', 'debilitated', 'constant', 'news', 'horror', 'prevent', 'alter', 'need', 'balance', 'self', 'preservation']"
54,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
55,"['phone', 'call', 'uncle', 'russia', 'pow', 'truth', 'army', 'war', 'initiate', 'prisoner', 'exchange', 'video', 'security', 'service', 'translation', 'thread']"
56,"['drone', 'dropping', 'munitions', 'onto', 'serious', 'toll', 'circa', 'command', 'trucks', 'supply', 'trucks', 'previously', 'posted', 'usually', 'munitions', 'used']"
57,"['last', 'war', 'human', 'race', 'billion', 'us', 'die', 'people', 'something', 'stop']"
58,"['west', 'versus', 'east', 'civil', 'war', 'led', 'war', 'full', 'documentary', 'part', 'part', 'part', 'part']"
59,"['middle', 'war', 'cat', 'human']"
60,"['russia', 'translation', 'video', 'settlement']"
61,"['sometimes', 'one', 'watching', 'fail', 'army', 'sometimes', 'russia']"
62,"['suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'employee', 'state', 'agency', 'exclusion', 'zone', 'management', 'said', 'running', 'away', 'irradiated']"
63,[]
64,"['head', 'police', 'department', 'sides', 'organization', 'filter', 'leave', 'city', 'russia']"
65,"['situation', 'critical', 'city', 'eastern', 'mayor', 'power', 'water', 'heat', 'medicine', 'humanitarian', 'hospital', 'operating', 'people', 'dying', 'buried', 'via']"
66,"['must', 'stop', 'without', 'delay', 'told', 'terror', 'agony', 'people', 'palpable', 'felt', 'around', 'world', 'want', 'war', 'stop', 'return', 'peace', 'safety', 'human', 'dignity']"
67,"['meet', 'neo', 'working', 'propaganda', 'apparatus', 'spreading', 'kremlin', 'youth', 'former', 'translator', 'feebly', 'west', 'cover', 'losing', 'genocidal', 'war']"
68,"['massive', 'army', 'note', 'possibly', 'noted', 'already', 'see', 'firstly', 'less', 'tweet']"
69,"['russia', 'said', 'would', 'scale', 'back', 'invasion', 'say', 'us', 'shame', 'war', 'criminal', 'liar', 'shameful', 'destruction', 'murder']"
70,"['lot', 'got', 'gear', 'idea', 'former', 'member', 'currently', 'foreign', 'lying', 'previous', 'military', 'experience', 'listen', 'pod', 'full']"
71,"['un', 'currently', 'investigating', 'cluster', 'munitions', 'used', 'russia', 'said', 'added', 'water', 'administrative', 'shelling']"
72,"['suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'employee', 'state', 'agency', 'exclusion', 'zone', 'management', 'said', 'running', 'away', 'irradiated']"
73,"['massive', 'army', 'note', 'possibly', 'noted', 'already', 'see', 'firstly', 'less', 'tweet']"
74,"['place', 'fighting', 'defend', 'democracy', 'fight', 'imperialism', 'denazify', 'choice', 'russia']"
75,"['year', 'old', 'girl', 'said', 'drunk', 'one', 'one', 'several', 'moreover', 'husband', 'yet', 'buried', 'four', 'year', 'old', 'son', 'boiler', 'house', 'slept', 'ran', 'away', 'son']"
76,"['russia', 'nuclear', 'march', 'two', 'nuclear', 'armed', 'assess', 'deliberate', 'action', 'clear', 'signal', 'threat', 'russia']"
77,"['seven', 'suffering', 'acute', 'radiation', 'syndrome', 'exclusion', 'zone', 'source', 'member', 'public', 'council', 'state', 'agency', 'exclusion', 'zone', 'via', 'news', 'agency']"
78,"['believe', 'anyone', 'trust', 'beautiful', 'verbal', 'real', 'situation', 'battlefield', 'important', 'thing', 'give', 'anything', 'fight', 'every', 'meter', 'land', 'every', 'person']"
79,"['another', 'abandoned', 'side', 'month']"
80,"['least', 'railway', 'throughout', 'recent', 'days', 'today', 'apology', 'people', 'propaganda', 'people', 'detention', 'mean', 'criminal', 'case']"
81,"['portion', 'proceeds', 'hate', 'borsch', 'relief']"
82,"['year', 'old', 'girl', 'said', 'drunk', 'one', 'one', 'several', 'moreover', 'husband', 'yet', 'buried', 'four', 'year', 'old', 'son', 'boiler', 'house', 'slept', 'ran', 'away', 'son']"
83,"['last', 'war', 'human', 'race', 'billion', 'us', 'die', 'people', 'something', 'stop']"
84,"['seriously', 'modern', 'day', 'h', 'l', 'e', 'r']"
85,"['even', 'capacity', 'eliminate', 'nation', 'make', 'good', 'tsar', 'withdraw', 'immediately', 'stop', 'lying', 'de', 'prove', 'leaving']"
86,"['situation', 'critical', 'city', 'eastern', 'mayor', 'power', 'water', 'heat', 'medicine', 'humanitarian', 'hospital', 'operating', 'people', 'dying', 'buried', 'via']"
87,"['russia', 'lying', 'ammunition', 'near', 'nuclear', 'power', 'plant']"
88,"['lost', 'credibility', 'mick']"
89,"['month', 'russia', 'devastating', 'invasion', 'military', 'seeing']"
90,"['say', 'stop', 'mean', 'exactly', 'state', 'show', 'prime', 'time', 'possible', 'nuclear', 'strike', 'invasion', 'corridor', 'act']"
91,"['data', 'set', 'like', 'many', 'transparency', 'russia', 'lately', 'provided', 'anonymous', 'response', 'invasion', 'war']"
92,"['oh', 'whenever', 'u', 'hear', 'remember', 'misogynist', 'stereotypical', 'toxic', 'masculinity', 'hole', 'really']"
93,"['city', 'central', 'missile', 'strike', 'russia', 'need']"
